,Understandability,Modifiability,Reusability,Consistency
Ant2Maven.atl,8,8,8,8
Assertion.atl,6,5,5,6
ATL2Copy.atl,6,5,6,6
BibTeX2DocBook.atl,6,6,6,7
CodeClone2SVG.atl,8,8,7,7
CodeClone2SVG2.atl,8,8,7,7
DSL2KM3.atl,7,6,6,6
DSL2XML.atl,5,4,4,6
KM32Metrics.atl,9,8,8,8
KM32Problem.atl,7,7,7,7
Measure2Table.atl,8,7,7,7
PathExp2PetriNet.atl,9,8,8,8
PathExp2TextualPathExp.atl,8,8,7,7
PetriNet2XML.atl,8,8,7,7
R2ML2XML.atl,6,5,5,6
SimpleSBVR2SimpleUML.atl,7,7,6,6
Syntax2SimpleSBVR.atl,7,6,7,6
Table2SVGBarChart.atl,6,6,7,7
Table2SVGPieChart.atl,6,6,6,6
UML2AnyLogic.atl,5,5,5,6
UmlActivityDiagram2MSProject.atl,9,8,8,8
WFR.atl,7,6,6,6
