,Understandability,Modifiability,Reusability,Consistency
Ant2Maven,6,5,5,4
Assertion,4,5,8,4
ATL2Copy,7,2,6,6
BibTeX2DocBook,6,6,3,4
CodeClone2SVG,5,1,7,2
CodeClone2SVG2,2,3,3,3
DSL2KM3,4,2,4,5
DSL2XML,5,6,5,5
KM32Metrics,1,3,2,4
KM32Problem,5,3,6,4
Measure2Table,7,7,5,5
PathExp2PetriNet,1,3,1,1
PathExp2TextualPathExp,3,8,7,2
PetriNet2XML,5,3,3,2
R2ML2XML,5,3,5,3
SimpleSBVR2SimpleUML,5,5,3,3
Syntax2SimpleSBVR,6,2,4,6
Table2SVGBarChart,2,3,5,3
Table2SVGPieChart,6,3,2,2
UML2AnyLogic,6,7,6,5
UmlActivityDiagram2MSProject,5,7,4,4
WFR,2,3,3,5
