,Understandability,Modifiability,Reusability,Consistency
Ant2Maven.atl,10,8,7,9
Assertion.atl,7,5,3,6
ATL2Copy.atl,10,8,10,9
BibTeX2DocBook.atl,8,7,6,7
CodeClone2SVG.atl,7,6,2,4
CodeClone2SVG2.atl,7,5,2,4
DSL2KM3.atl,10,7,8,6
DSL2XML.atl,6,5,3,5
KM32Metrics.atl,9,9,7,4
KM32Problem.atl,5,2,2,3
Measure2Table.atl,5,6,7,6
PathExp2PetriNet.atl,10,8,3,7
PathExp2TextualPathExp.atl,8,9,7,7
PetriNet2XML.atl,9,7,5,7
R2ML2XML.atl,1,1,3,4
SimpleSBVR2SimpleUML.atl,4,3,1,3
Syntax2SimpleSBVR.atl,2,2,1,3
Table2SVGBarChart.atl,5,4,3,5
Table2SVGPieChart.atl,5,4,3,5
UML2AnyLogic.atl,1,2,2,3
UmlActivityDiagram2MSProject.atl,8,4,1,5
WFR.atl,3,1,2,6
