,Extensibility,Functionality,Reusability,Understandability,Well-structured
aadl2.ecore,5,4,3,4,2
AUIML.ecore,3,9,8,2,2
camel-spring.ecore,4,4,5,7,5
CIM14.ecore,4,7,8,8,3
cityfurniture.ecore,1,3,3,7,3
CompleteGUIdancerComponentHierarchy.ecore,2,3,1,9,7
Component.ecore,1,1,2,9,7
confOf.owl.ecore,4,5,5,5,3
crs_dr.owl.ecore,5,3,5,3,2
data.ecore,2,2,3,7,6
eballing.ecore,3,1,2,7,6
edas.owl.ecore,7,7,8,2,2
efeature.ecore,2,3,1,3,4
ekaw.owl.ecore,6,8,6,7,2
GUIdancerComponentHierarchy.ecore,7,2,1,9,5
iasted.owl.ecore,8,10,9,1,3
inject.ecore,3,1,2,8,7
Java.ecore,4,1,3,4,5
JourneyModel.ecore,8,3,3,8,3
jsflibraryregistry.ecore,2,1,1,7,5
kdm-09-05-23.ecore,6,4,8,4,2
KDM.ecore,4,4,6,2,1
kdm-modisco.ecore,4,3,7,3,3
loophole.ecore,3,3,1,7,5
LTL.ecore,2,1,2,9,6
Marte.ecore,8,6,6,2,2
modelo.ecore,2,1,2,3,8
objectrepository.ecore,3,2,2,3,6
omadmsimulation.ecore,2,2,3,9,9
PLM.ecore,1,2,1,8,3
Project.ecore,5,6,4,6,3
RandL.ecore,1,1,1,9,4
rok.core.ecore,3,1,3,7,7
rom.ecore,3,3,2,7,4
sbvrEclipse.ecore,9,5,5,1,3
SDO.ecore,3,3,3,8,8
simTL4J.ecore,4,1,7,4,4
ToDoListDiag.ecore,2,2,1,7,5
transaction.ecore,7,3,2,2,6
UML_21.ecore,9,5,6,4,5
UML2.ecore,7,6,6,8,2
UML.ecore,3,5,6,3,5
UML_simple.ecore,3,2,6,6,3
vdx.ecore,5,10,9,8,4
wcs111_gml.ecore,1,1,1,9,2
xtce.ecore,4,6,6,6,2
