,Extensibility,Functionality,Reusability,Understandability,Well-structured
aadl2.ecore,10,9,9,8,6
AUIML.ecore,9,10,9,10,10
camel-spring.ecore,9,9,4,7,6
CIM14.ecore,7,7,3,7,4
cityfurniture.ecore,8,8,7,4,4
CompleteGUIdancerComponentHierarchy.ecore,7,9,9,10,8
Component.ecore,4,6,6,9,8
confOf.owl.ecore,9,9,8,10,8
crs_dr.owl.ecore,8,8,7,7,7
data.ecore,8,8,8,7,8
eballing.ecore,7,8,3,7,9
edas.owl.ecore,10,9,8,8,6
efeature.ecore,6,7,3,4,4
ekaw.owl.ecore,10,9,7,9,8
GUIdancerComponentHierarchy.ecore,8,9,8,9,9
iasted.owl.ecore,10,10,7,9,7
inject.ecore,7,4,7,8,7
Java.ecore,9,9,9,10,8
JourneyModel.ecore,9,8,8,10,9
jsflibraryregistry.ecore,8,8,7,10,8
kdm-09-05-23.ecore,10,9,9,9,9
KDM.ecore,10,9,9,9,9
kdm-modisco.ecore,9,9,9,7,6
loophole.ecore,8,6,5,5,7
LTL.ecore,7,7,6,6,7
Marte.ecore,8,8,9,8,9
modelo.ecore,3,2,1,7,5
objectrepository.ecore,3,3,8,8,7
omadmsimulation.ecore,4,5,3,7,7
PLM.ecore,8,7,6,7,7
Project.ecore,8,9,8,6,6
RandL.ecore,8,9,9,9,8
rok.core.ecore,6,6,9,9,8
rom.ecore,9,9,5,4,8
sbvrEclipse.ecore,8,8,8,9,9
SDO.ecore,8,8,8,7,9
simTL4J.ecore,10,9,9,10,10
ToDoListDiag.ecore,8,8,7,9,8
transaction.ecore,7,7,5,5,6
UML_21.ecore,7,9,8,8,9
UML2.ecore,9,9,9,8,10
UML.ecore,7,9,8,8,9
UML_simple.ecore,7,9,8,8,9
vdx.ecore,9,8,9,9,8
wcs111_gml.ecore,10,10,8,9,10
xtce.ecore,10,9,8,10,10
