,Extensibility,Functionality,Reusability,Understandability,Well-structured
aadl2.ecore,7,2,2,5,3
AUIML.ecore,8,9,5,3,2
camel-spring.ecore,4,6,4,5,3
CIM14.ecore,9,7,8,2,2
cityfurniture.ecore,3,2,1,8,3
CompleteGUIdancerComponentHierarchy.ecore,2,2,1,9,6
Component.ecore,6,2,1,9,4
confOf.owl.ecore,4,5,5,5,2
crs_dr.owl.ecore,3,4,3,3,2
data.ecore,1,3,2,8,7
eballing.ecore,1,2,2,8,5
edas.owl.ecore,5,5,5,3,6
efeature.ecore,2,1,2,9,7
ekaw.owl.ecore,8,5,6,3,2
GUIdancerComponentHierarchy.ecore,5,3,2,4,7
iasted.owl.ecore,5,8,4,3,1
inject.ecore,3,2,2,9,8
Java.ecore,6,2,4,6,3
JourneyModel.ecore,2,2,2,7,5
jsflibraryregistry.ecore,3,3,1,8,4
kdm-09-05-23.ecore,6,4,5,1,1
KDM.ecore,6,6,5,5,1
kdm-modisco.ecore,6,7,8,5,2
loophole.ecore,3,2,2,9,5
LTL.ecore,1,2,1,8,10
Marte.ecore,6,8,6,3,2
modelo.ecore,4,3,1,6,4
objectrepository.ecore,3,4,1,7,5
omadmsimulation.ecore,2,3,2,9,7
PLM.ecore,2,3,3,7,7
Project.ecore,4,5,6,4,2
RandL.ecore,3,3,1,9,8
rok.core.ecore,3,3,2,9,4
rom.ecore,2,2,1,7,5
sbvrEclipse.ecore,5,5,6,1,3
SDO.ecore,2,1,3,5,8
simTL4J.ecore,4,5,5,4,2
ToDoListDiag.ecore,1,3,3,6,2
transaction.ecore,2,1,1,7,9
UML_21.ecore,4,6,6,5,4
UML2.ecore,3,5,2,6,3
UML.ecore,7,4,6,4,3
UML_simple.ecore,7,3,4,7,2
vdx.ecore,4,8,5,2,3
wcs111_gml.ecore,1,2,3,7,6
xtce.ecore,6,4,2,4,2
