,Understandability,Modifiability,Reusability,Consistency
Ant2Maven,7,5,5,3
Assertion,4,6,3,6
ATL2Copy,6,3,8,8
BibTeX2DocBook,6,7,4,4
CodeClone2SVG,6,3,3,2
CodeClone2SVG2,2,4,5,3
DSL2KM3,4,2,4,7
DSL2XML,8,7,5,5
KM32Metrics,4,2,0,2
KM32Problem,5,3,6,6
Measure2Table,5,7,3,5
PathExp2PetriNet,2,5,5,2
PathExp2TextualPathExp,3,7,6,2
PetriNet2XML,6,3,3,2
R2ML2XML,5,4,6,3
SimpleSBVR2SimpleUML,6,5,5,4
Syntax2SimpleSBVR,6,6,6,7
Table2SVGBarChart,3,3,2,2
Table2SVGPieChart,6,4,2,3
UML2AnyLogic,7,7,5,6
UmlActivityDiagram2MSProject,7,3,4,3
WFR,3,3,7,6
