,Extensibility,Functionality,Reusability,Understandability,Well-structured
aadl2.ecore,6,3,3,4,8
AUIML.ecore,7,8,9,1,3
camel-spring.ecore,3,2,6,5,2
CIM14.ecore,9,7,10,3,3
cityfurniture.ecore,2,3,2,9,5
CompleteGUIdancerComponentHierarchy.ecore,1,1,2,7,5
Component.ecore,3,2,3,9,8
confOf.owl.ecore,2,6,2,6,2
crs_dr.owl.ecore,7,6,2,7,3
data.ecore,2,2,3,8,4
eballing.ecore,2,1,2,4,4
edas.owl.ecore,8,8,5,2,2
efeature.ecore,2,1,3,9,3
ekaw.owl.ecore,8,8,9,2,3
GUIdancerComponentHierarchy.ecore,2,1,3,5,7
iasted.owl.ecore,8,9,9,2,2
inject.ecore,3,3,1,8,9
Java.ecore,5,2,5,4,1
JourneyModel.ecore,3,1,3,7,6
jsflibraryregistry.ecore,3,3,1,9,6
kdm-09-05-23.ecore,8,6,8,1,4
KDM.ecore,6,5,7,2,2
kdm-modisco.ecore,5,7,7,3,1
loophole.ecore,3,3,3,7,5
LTL.ecore,2,3,1,6,9
Marte.ecore,8,6,8,3,2
modelo.ecore,3,2,3,8,4
objectrepository.ecore,3,3,1,9,7
omadmsimulation.ecore,3,3,1,7,8
PLM.ecore,1,2,2,9,6
Project.ecore,6,4,3,7,2
RandL.ecore,2,2,1,5,8
rok.core.ecore,3,3,1,8,6
rom.ecore,3,1,1,8,3
sbvrEclipse.ecore,5,6,9,1,1
SDO.ecore,3,2,1,8,8
simTL4J.ecore,7,2,5,5,2
ToDoListDiag.ecore,3,3,2,7,3
transaction.ecore,2,1,1,8,7
UML_21.ecore,5,5,7,6,2
UML2.ecore,5,3,4,3,4
UML.ecore,4,6,6,4,2
UML_simple.ecore,6,2,6,6,3
vdx.ecore,8,9,9,3,3
wcs111_gml.ecore,2,3,2,8,3
xtce.ecore,4,6,3,5,3
