,Understandability,Modifiability,Reusability,Consistency
Ant2Maven,8,7,7,7
Assertion,2,6,6,6
ATL2Copy,8,2,6,7
BibTeX2DocBook,4,7,9,7
CodeClone2SVG,4,2,2,2
CodeClone2SVG2,2,4,4,5
DSL2KM3,4,2,4,4
DSL2XML,4,3,3,5
KM32Metrics,1,1,5,6
KM32Problem,7,1,6,6
Measure2Table,5,7,2,7
PathExp2PetriNet,3,6,1,2
PathExp2TextualPathExp,4,1,4,1
PetriNet2XML,5,2,3,1
R2ML2XML,7,1,7,7
SimpleSBVR2SimpleUML,6,4,4,3
Syntax2SimpleSBVR,7,6,5,7
Table2SVGBarChart,4,2,3,2
Table2SVGPieChart,5,1,2,4
UML2AnyLogic,6,4,3,5
UmlActivityDiagram2MSProject,2,2,3,4
WFR,5,2,7,8
