,Extensibility,Functionality,Reusability,Understandability,Well-structured
aadl2.ecore,3,5,5,5,2
AUIML.ecore,7,2,8,4,1
camel-spring.ecore,5,6,6,8,3
CIM14.ecore,8,6,8,6,2
cityfurniture.ecore,2,3,1,9,5
CompleteGUIdancerComponentHierarchy.ecore,3,2,2,6,6
Component.ecore,2,2,2,7,5
confOf.owl.ecore,3,3,2,7,3
crs_dr.owl.ecore,6,5,2,3,2
data.ecore,3,2,1,4,5
eballing.ecore,1,3,3,8,4
edas.owl.ecore,5,8,2,1,3
efeature.ecore,3,4,8,8,5
ekaw.owl.ecore,9,5,9,1,6
GUIdancerComponentHierarchy.ecore,3,3,2,9,7
iasted.owl.ecore,5,3,5,2,1
inject.ecore,2,3,2,8,5
Java.ecore,7,1,3,8,3
JourneyModel.ecore,6,2,2,2,6
jsflibraryregistry.ecore,2,3,2,5,4
kdm-09-05-23.ecore,4,6,8,4,3
KDM.ecore,5,7,5,6,4
kdm-modisco.ecore,8,7,3,2,3
loophole.ecore,1,3,2,8,5
LTL.ecore,3,2,7,4,9
Marte.ecore,5,5,6,2,2
modelo.ecore,2,3,2,5,7
objectrepository.ecore,2,1,3,8,5
omadmsimulation.ecore,2,1,3,5,4
PLM.ecore,3,2,3,7,5
Project.ecore,7,5,4,5,3
RandL.ecore,5,1,2,8,6
rok.core.ecore,3,1,2,8,4
rom.ecore,2,1,1,8,3
sbvrEclipse.ecore,7,8,8,2,2
SDO.ecore,2,7,2,3,5
simTL4J.ecore,3,4,5,4,4
ToDoListDiag.ecore,2,2,3,8,6
transaction.ecore,6,3,1,4,6
UML_21.ecore,4,2,5,6,1
UML2.ecore,7,6,4,7,2
UML.ecore,3,3,8,6,2
UML_simple.ecore,5,5,9,6,5
vdx.ecore,8,2,3,3,2
wcs111_gml.ecore,3,1,1,7,3
xtce.ecore,3,6,2,5,3
