,Understandability,Modifiability,Reusability,Consistency
Ant2Maven,4,4,5,6
Assertion,6,5,5,5
ATL2Copy,6,2,5,7
BibTeX2DocBook,5,5,3,2
CodeClone2SVG,2,4,3,2
CodeClone2SVG2,0,7,8,3
DSL2KM3,4,0,8,4
DSL2XML,5,7,6,6
KM32Metrics,4,2,3,2
KM32Problem,5,3,9,6
Measure2Table,5,7,3,5
PathExp2PetriNet,3,5,4,3
PathExp2TextualPathExp,2,6,7,8
PetriNet2XML,6,3,3,4
R2ML2XML,5,3,5,3
SimpleSBVR2SimpleUML,3,5,3,3
Syntax2SimpleSBVR,7,6,4,3
Table2SVGBarChart,6,5,2,8
Table2SVGPieChart,6,2,7,7
UML2AnyLogic,7,5,6,6
UmlActivityDiagram2MSProject,5,3,6,2
WFR,3,3,7,3
