,Extensibility,Functionality,Reusability,Understandability,Well-structured
aadl2.ecore,3,3,6,7,3
AUIML.ecore,5,5,7,1,3
camel-spring.ecore,2,5,4,8,5
CIM14.ecore,7,7,9,3,1
cityfurniture.ecore,1,1,3,9,6
CompleteGUIdancerComponentHierarchy.ecore,3,4,3,8,7
Component.ecore,3,1,4,8,4
confOf.owl.ecore,5,5,6,6,3
crs_dr.owl.ecore,3,5,5,7,2
data.ecore,2,1,2,7,7
eballing.ecore,2,3,3,7,3
edas.owl.ecore,6,8,8,5,2
efeature.ecore,3,4,2,8,4
ekaw.owl.ecore,8,9,9,4,2
GUIdancerComponentHierarchy.ecore,1,3,2,7,7
iasted.owl.ecore,6,8,8,2,6
inject.ecore,3,1,2,8,5
Java.ecore,4,2,3,3,1
JourneyModel.ecore,2,3,3,8,6
jsflibraryregistry.ecore,2,1,1,4,5
kdm-09-05-23.ecore,5,7,4,5,2
KDM.ecore,6,6,7,5,2
kdm-modisco.ecore,4,6,7,3,1
loophole.ecore,2,1,3,7,3
LTL.ecore,1,3,3,9,9
Marte.ecore,7,6,8,3,3
modelo.ecore,4,1,2,8,4
objectrepository.ecore,3,3,3,8,7
omadmsimulation.ecore,3,3,1,5,4
PLM.ecore,1,3,1,7,4
Project.ecore,3,2,3,5,2
RandL.ecore,2,1,2,9,5
rok.core.ecore,3,1,3,5,7
rom.ecore,3,3,1,9,6
sbvrEclipse.ecore,7,7,7,6,2
SDO.ecore,3,3,2,9,6
simTL4J.ecore,7,3,4,4,1
ToDoListDiag.ecore,2,2,3,9,2
transaction.ecore,3,1,1,9,7
UML_21.ecore,6,4,4,7,1
UML2.ecore,3,2,6,3,3
UML.ecore,5,5,4,7,1
UML_simple.ecore,5,5,6,4,2
vdx.ecore,5,8,9,3,2
wcs111_gml.ecore,2,2,3,7,3
xtce.ecore,5,4,4,7,2
