,Extensibility,Functionality,Reusability,Understandability,Well-structured
aadl2.ecore,5,2,4,5,1
AUIML.ecore,6,8,8,4,2
camel-spring.ecore,2,6,3,6,1
CIM14.ecore,9,7,8,2,2
cityfurniture.ecore,2,2,2,7,5
CompleteGUIdancerComponentHierarchy.ecore,2,2,4,8,7
Component.ecore,2,2,3,3,8
confOf.owl.ecore,2,5,3,5,2
crs_dr.owl.ecore,7,4,5,3,2
data.ecore,3,6,2,2,5
eballing.ecore,3,2,4,8,6
edas.owl.ecore,4,4,5,3,2
efeature.ecore,1,2,3,7,4
ekaw.owl.ecore,5,8,5,4,2
GUIdancerComponentHierarchy.ecore,3,1,3,10,6
iasted.owl.ecore,8,6,8,3,2
inject.ecore,2,2,3,10,5
Java.ecore,3,3,7,6,3
JourneyModel.ecore,2,2,1,9,7
jsflibraryregistry.ecore,3,3,2,9,7
kdm-09-05-23.ecore,7,7,7,5,3
KDM.ecore,6,7,4,4,3
kdm-modisco.ecore,4,5,7,3,1
loophole.ecore,1,1,3,4,3
LTL.ecore,3,1,3,8,3
Marte.ecore,8,5,8,3,3
modelo.ecore,2,1,2,5,4
objectrepository.ecore,2,1,6,4,6
omadmsimulation.ecore,3,3,3,9,5
PLM.ecore,3,2,2,8,6
Project.ecore,6,6,2,6,1
RandL.ecore,2,9,1,10,7
rok.core.ecore,2,5,5,8,4
rom.ecore,3,6,2,7,6
sbvrEclipse.ecore,7,8,9,2,3
SDO.ecore,3,4,6,8,10
simTL4J.ecore,5,3,6,4,3
ToDoListDiag.ecore,3,3,2,9,4
transaction.ecore,1,3,2,10,9
UML_21.ecore,7,3,5,4,2
UML2.ecore,7,4,4,4,2
UML.ecore,7,3,7,7,2
UML_simple.ecore,3,6,7,3,2
vdx.ecore,9,6,9,1,4
wcs111_gml.ecore,1,3,3,9,3
xtce.ecore,2,3,3,5,1
