,Understandability,Modifiability,Reusability,Consistency
Ant2Maven,5,4,8,6
Assertion,5,6,5,7
ATL2Copy,4,3,6,8
BibTeX2DocBook,5,6,7,3
CodeClone2SVG,5,3,2,2
CodeClone2SVG2,3,5,4,1
DSL2KM3,4,3,5,6
DSL2XML,8,3,6,7
KM32Metrics,7,1,2,4
KM32Problem,6,1,5,7
Measure2Table,8,6,1,7
PathExp2PetriNet,2,5,0,5
PathExp2TextualPathExp,5,5,4,2
PetriNet2XML,6,1,3,4
R2ML2XML,7,2,3,8
SimpleSBVR2SimpleUML,3,1,4,3
Syntax2SimpleSBVR,8,7,4,7
Table2SVGBarChart,3,3,2,5
Table2SVGPieChart,7,2,3,3
UML2AnyLogic,6,7,4,6
UmlActivityDiagram2MSProject,2,2,6,1
WFR,4,4,6,7
