,Understandability,Modifiability,Reusability,Consistency
Ant2Maven,6,5,6,6
Assertion,3,6,3,7
ATL2Copy,5,1,6,6
BibTeX2DocBook,6,7,5,5
CodeClone2SVG,3,6,2,6
CodeClone2SVG2,2,7,4,2
DSL2KM3,1,1,6,4
DSL2XML,9,6,6,6
KM32Metrics,1,4,4,4
KM32Problem,5,2,7,7
Measure2Table,6,7,6,6
PathExp2PetriNet,3,4,2,5
PathExp2TextualPathExp,2,6,5,2
PetriNet2XML,6,2,2,5
R2ML2XML,6,3,8,8
SimpleSBVR2SimpleUML,3,4,6,6
Syntax2SimpleSBVR,7,8,6,7
Table2SVGBarChart,6,4,4,3
Table2SVGPieChart,7,2,4,7
UML2AnyLogic,8,7,5,6
UmlActivityDiagram2MSProject,7,2,7,2
WFR,5,4,5,7
