,Extensibility,Functionality,Reusability,Understandability,Well-structured
aadl2.ecore,5,2,2,3,2
AUIML.ecore,6,6,8,2,8
camel-spring.ecore,2,2,5,4,3
CIM14.ecore,7,8,9,8,2
cityfurniture.ecore,3,1,3,8,6
CompleteGUIdancerComponentHierarchy.ecore,6,3,1,6,6
Component.ecore,1,3,2,4,5
confOf.owl.ecore,3,6,6,4,3
crs_dr.owl.ecore,5,6,3,4,2
data.ecore,5,1,3,3,5
eballing.ecore,1,2,3,9,4
edas.owl.ecore,5,5,5,1,9
efeature.ecore,2,2,1,9,5
ekaw.owl.ecore,7,8,7,3,2
GUIdancerComponentHierarchy.ecore,3,3,3,8,8
iasted.owl.ecore,8,9,8,8,7
inject.ecore,1,3,3,8,5
Java.ecore,7,2,6,3,3
JourneyModel.ecore,2,2,3,7,6
jsflibraryregistry.ecore,1,3,3,9,4
kdm-09-05-23.ecore,8,5,7,7,3
KDM.ecore,5,3,7,4,8
kdm-modisco.ecore,5,5,6,2,3
loophole.ecore,2,3,2,3,5
LTL.ecore,2,3,2,8,5
Marte.ecore,7,7,7,7,4
modelo.ecore,4,2,2,4,7
objectrepository.ecore,2,2,1,3,8
omadmsimulation.ecore,1,3,3,9,5
PLM.ecore,3,1,3,5,5
Project.ecore,3,4,4,5,6
RandL.ecore,3,2,2,8,6
rok.core.ecore,3,3,2,7,4
rom.ecore,2,3,1,8,3
sbvrEclipse.ecore,6,8,7,4,2
SDO.ecore,2,1,2,2,5
simTL4J.ecore,4,2,4,8,1
ToDoListDiag.ecore,6,3,2,8,6
transaction.ecore,3,3,3,9,8
UML_21.ecore,6,5,6,5,6
UML2.ecore,5,3,5,6,2
UML.ecore,6,3,7,7,2
UML_simple.ecore,3,4,3,6,5
vdx.ecore,9,9,9,7,2
wcs111_gml.ecore,3,2,2,4,2
xtce.ecore,3,2,2,7,3
